ind,GEO,LON,LAT,Source,Cluster1,Cluster2,Cluster3,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,filt_Cluster1,filt_Cluster2,filt_PC1,filt_PC2,filt_PC3,filt_PC4,filt_PC5,filt_PC6,filt_PC7,filt_PC8,filt_PC9,filt_PC10,filt_PC11,filt_PC12,filt_PC13,filt_PC14,filt_PC15,filt_PC16,filt_PC17,filt_PC18,filt_PC19,filt_PC20,wc2.1_2.5m_bio_1,wc2.1_2.5m_bio_12
087_1,Connecticut,-72.21359,41.43505,Wild,5e-6,0.999989,5e-6,-0.0315945,0.0138473,-0.009662,0.0221423,6.2834e-4,7.35776e-4,3.11193e-5,0.00479719,-0.0235502,-0.00187157,-0.00349737,0.0169859,0.00644305,0.00741717,-0.0100309,-0.0177716,0.002234,0.0251631,-0.00242953,0.0101077,0.999888,1.12e-4,0.0330537,-0.00706918,0.034918,-0.0173188,-0.00117033,-0.00633368,0.0528264,0.0225624,-0.00610412,-0.025058,-0.0230759,0.0166664,-0.0702341,0.015591,0.0185999,-0.0078194,0.00629775,0.0968115,0.0518365,-0.094972,9.686333656311035,1260
113_10,Maine,-70.8378,43.72995,Wild,0.177585,0.664345,0.15807,0.00998983,-0.0266723,0.0934035,-0.0559614,0.179708,0.252003,-0.050055,-0.0100009,0.0259047,-0.0147557,-0.00121201,-9.79034e-4,-0.0124231,0.00441121,0.018124,0.00292224,0.00443044,-0.0272231,-0.0192653,-0.0251415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.764500141143799,1225
108_3,New Hampshire,-71.61115,42.87887,Wild,6e-6,0.999987,6e-6,-0.0280226,0.0111156,-0.00846513,0.0161656,0.00424139,0.00325898,0.00658983,0.00598463,-0.0520728,0.00577646,-0.0282224,0.0219686,0.0102684,0.00161143,-0.0202238,-0.0311327,7.11396e-4,0.0112937,-0.0156775,0.0195531,0.999928,7.2e-5,0.0742533,-0.0277559,0.0445382,-0.0540263,0.0796165,0.00371039,-0.28698,-0.0561589,0.0190889,-0.024465,0.0450706,0.051216,0.0274815,0.0539604,0.0283776,0.0180692,0.0234986,0.00300733,0.0224449,-0.0158116,7.959666728973389,1077
108_2,New Hampshire,-71.61115,42.87887,Wild,6e-6,0.999988,5e-6,-0.0291673,0.0113463,-0.0110311,0.0151779,0.00221251,-5.40251e-5,0.00487387,0.00966508,-0.0728073,0.00192305,-0.0343994,0.0244661,0.00732517,0.00727389,-0.0138945,-0.0397425,0.00134354,0.0224505,-0.0208291,0.0324186,0.999938,6.2e-5,0.093318,-0.0304489,0.0636007,-0.0838046,0.0887805,0.00478043,-0.355737,-0.0525073,0.0139047,-0.0340172,0.054348,0.0577846,0.0149293,0.0577573,0.0296221,0.017779,0.0438212,0.0102468,0.0149778,-0.0160972,7.959666728973389,1077
108_5,New Hampshire,-71.61115,42.87887,Wild,0.014129,0.985865,6e-6,-0.0276031,0.00776233,-0.0110673,0.0165339,0.00353307,-0.00145945,0.00212463,0.0163459,-0.0475335,0.0130436,-0.019343,0.0295086,0.00258114,0.0135119,-0.00756232,-0.0401445,0.00315999,0.029726700000000002,-0.0161192,0.0436674,0.999919,8.1e-5,0.0693657,-0.0180062,0.0579171,-0.0844182,0.0582995,0.0209108,-0.228885,-0.0499653,0.0227838,-0.0453051,0.0213722,-0.0154793,-0.00866209,0.0553588,0.00132124,-0.00622378,0.00883969,0.0114828,0.0202947,-0.0223306,7.959666728973389,1077
108_4,New Hampshire,-71.61115,42.87887,Wild,6e-6,0.999988,6e-6,-0.0270239,0.0106023,-0.00998414,0.0132297,0.00685199,0.00203858,0.00111504,0.0143713,-0.0746318,0.00416324,-0.0272052,0.0246895,0.0142904,0.00721654,-0.025543,-0.0387857,-0.00312034,0.013375,-0.0195723,0.0378492,0.999939,6.1e-5,0.0957838,-0.0383487,0.0572738,-0.0798816,0.0985272,0.0107874,-0.351424,-0.0668952,0.0152573,-0.0302139,0.0580057,0.0522443,0.0393817,0.078273,0.0470993,0.030852,0.0592845,0.0158557,0.0142099,-0.0129116,7.959666728973389,1077
102_11,Massachusetts,-72.09459,42.43742,Wild,7e-6,0.999987,6e-6,-0.0278215,0.0132069,-0.0074348,0.0172763,0.00572178,0.00718128,-0.00357451,0.00712985,-0.0383174,0.00676046,-0.00989511,0.0246636,0.00953783,0.00934591,-0.0229106,-0.0248053,0.00720185,0.00911442,-0.00752523,0.0129128,0.999922,7.8e-5,0.0607965,-0.0194929,0.0395894,-0.0323002,0.0102237,-0.0160103,0.0381378,-0.0138053,-0.0711321,0.240434,0.0160341,0.151049,0.0681506,0.0115578,-0.0469587,-0.0596922,-0.0249006,-0.116009,-0.035402,0.136268,7.277999877929688,1114
102_12,Massachusetts,-72.09459,42.43742,Wild,6e-6,0.999988,5e-6,-0.0290116,0.0121,-0.00944664,0.0198489,3.06542e-4,0.00217674,-0.00103005,0.006777,-0.0332021,0.00551241,-0.0163318,0.0266862,0.0120341,0.0101394,-0.0170278,-0.0230311,0.00447313,-0.00160705,-0.0142768,0.0113307,0.999914,8.6e-5,0.0578217,-0.0122358,0.0260109,-0.0226061,0.00128769,-0.0226183,0.0344357,-0.00444794,-0.0513081,0.188835,-0.00143954,0.126639,0.0618805,0.00146122,-0.0175495,-0.0472197,-0.0222186,-0.0825258,-0.0271284,0.0852521,7.277999877929688,1114
108_6,New Hampshire,-71.61115,42.87887,Wild,6e-6,0.999988,5e-6,-0.0304397,0.0118891,-0.00867111,0.0207776,0.00748395,0.00396584,0.00649206,0.00620864,-0.0536109,0.00721951,-0.0230227,0.028993,0.00512173,0.00683784,-0.0150342,-0.0348348,-0.00177474,0.0190067,-0.0189997,0.0296987,0.99993,7e-5,0.0672104,-0.0214456,0.0561092,-0.0686064,0.0579188,0.0106945,-0.241737,-0.0523775,0.0220112,-0.0233653,0.0376796,0.0371854,0.0213737,0.0511498,9.24424e-4,-0.00221111,0.0179323,0.00529853,0.00909793,-0.0357096,7.959666728973389,1077
099_5,Connecticut,-71.95676,41.9233,Wild,0.024181,0.975812,6e-6,-0.0248501,0.00606464,-0.0101066,0.0120787,0.00308179,-1.40667e-4,-0.00258205,0.0161877,-0.04407,0.0120499,-0.0192643,0.0210954,0.0214136,0.0113869,-0.0338699,-0.0273655,0.00556055,0.0315706,0.0298604,0.0701858,0.999925,7.5e-5,0.0729253,-0.00958385,0.0892505,-0.0457908,0.0324283,0.0328614,0.12942,0.0015861200000000001,0.0344736,-0.0042603,-0.0176245,-0.0823558,0.229351,0.0311741,0.380232,0.177189,-0.123863,-0.0974078,-0.0265633,3.77623e-5,8.79366683959961,1216
